YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPATURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,7,15,3,NK,298,N634NK,LAS,IAH,3,4,1,14,18,177,178,152,1222,450,12,500,502,2,0,0,,,,,,
2015,7,15,3,AA,1965,N521UW,SFO,CLT,5,9,4,11,20,303,297,266,2296,746,20,808,806,-2,0,0,,,,,,
2015,7,15,3,F9,736,N920FR,DEN,CVG,5,114,69,13,127,154,169,143,1069,550,13,439,603,84,0,0,,15,0,69,0,0
2015,7,15,3,NK,612,N619NK,LAS,MSP,5,12,7,13,25,178,169,147,1299,452,9,503,501,-2,0,0,,,,,,
2015,7,15,3,UA,1042,N61881,SFO,EWR,7,124,77,10,134,322,345,324,2565,958,11,829,1009,100,0,0,,25,0,0,75,0
2015,7,15,3,AA,260,N3JNAA,LAX,MIA,10,5,-5,25,30,312,313,280,2342,810,8,822,818,-4,0,0,,,,,,
2015,7,15,3,AA,2406,N3JBAA,LAX,DFW,15,,,,,183,,,1235,,,518,,,0,1,A,,,,,
2015,7,15,3,AA,448,N545UW,SLC,CLT,15,17,2,12,29,234,227,209,1727,558,6,609,604,-5,0,0,,,,,,
2015,7,15,3,F9,1126,N207FR,LAS,IAD,15,40,25,8,48,280,258,245,2065,753,5,755,758,3,0,0,,,,,,
2015,7,15,3,UA,1921,N69826,SEA,IAH,19,23,4,10,33,246,240,223,1874,616,7,625,623,-2,0,0,,,,,,
2015,7,15,3,AA,1230,N3BLAA,SEA,DFW,25,34,9,14,48,233,233,210,1660,618,9,618,627,9,0,0,,,,,,
2015,7,15,3,AA,1925,N544UW,SEA,CLT,25,159,94,12,211,297,280,260,2279,931,8,822,939,77,0,0,,0,0,77,0,0
2015,7,15,3,AA,2051,N576UW,SFO,PHL,25,23,-2,14,37,320,316,292,2521,829,10,845,839,-6,0,0,,,,,,
2015,7,15,3,DL,1435,N836DN,LAX,MSP,25,45,20,12,57,212,192,177,1535,554,3,557,557,0,0,0,,,,,,
2015,7,15,3,DL,2832,N803DN,ANC,SLC,25,24,-1,10,34,275,262,245,2125,639,7,700,646,-14,0,0,,,,,,
2015,7,15,3,AA,1982,N177US,LAX,CLT,30,40,10,24,104,295,294,260,2125,824,10,825,834,9,0,0,,,,,,
2015,7,15,3,AA,677,N537UW,LAS,PHL,30,24,-6,11,35,284,278,261,2176,756,6,814,802,-12,0,0,,,,,,
2015,7,15,3,DL,806,N127DL,SFO,MSP,30,45,15,13,58,212,197,179,1589,557,5,602,602,0,0,0,,,,,,
2015,7,15,3,UA,551,N495UA,SFO,ORD,30,28,-2,21,49,254,245,212,1846,621,12,644,633,-11,0,0,,,,,,
2015,7,15,3,UA,1587,N39418,PDX,ORD,30,42,12,9,51,236,218,199,1739,610,10,626,620,-6,0,0,,,,,,
2015,7,15,3,AA,1496,N3DRAA,LAS,ORD,35,24,-11,19,43,205,205,179,1514,542,7,600,549,-11,0,0,,,,,,
2015,7,15,3,AA,771,N519UW,PHX,PHL,35,40,5,21,101,270,279,246,2075,807,12,805,819,14,0,0,,,,,,
2015,7,15,3,AA,1797,N769US,LAX,BNA,35,30,-5,17,47,250,242,218,1797,625,7,645,632,-13,0,0,,,,,,
2015,7,15,3,AA,685,N662AW,SEA,PHL,35,33,-2,13,46,303,297,273,2378,819,11,838,830,-8,0,0,,,,,,
2015,7,15,3,UA,1981,N11206,LAS,IAH,35,27,-8,10,37,179,168,150,1222,507,8,534,515,-19,0,0,,,,,,
