YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPATURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,9,30,3,AA,1230,N3GCAA,SEA,DFW,5,4,-1,9,13,237,200,186,1660,519,5,602,524,-38,0,0,,,,,,
2015,9,30,3,DL,1562,N6713Y,SFO,MSP,5,2357,-8,18,15,206,199,174,1589,509,7,531,516,-15,0,0,,,,,,
2015,9,30,3,NK,612,N612NK,LAS,MSP,5,2400,-5,14,14,177,179,154,1299,448,11,502,459,-3,0,0,,,,,,
2015,9,30,3,AA,260,N3GGAA,LAX,MIA,10,6,-4,20,26,296,294,268,2342,754,6,806,800,-6,0,0,,,,,,
2015,9,30,3,AA,1982,N151UW,SFO,CLT,10,5,-5,12,17,291,276,257,2296,734,7,801,741,-20,0,0,,,,,,
2015,9,30,3,UA,1171,N37466,LAX,ORD,14,11,-3,18,29,253,230,205,1744,554,7,627,601,-26,0,0,,,,,,
2015,9,30,3,UA,1676,N76254,SFO,ORD,14,16,2,11,27,263,233,204,1846,551,18,637,609,-28,0,0,,,,,,
2015,9,30,3,AA,2406,N866AA,LAX,DFW,15,9,-6,16,25,176,173,148,1235,453,9,511,502,-9,0,0,,,,,,
2015,9,30,3,AA,448,N923US,SLC,CLT,15,2,-13,12,14,232,214,196,1727,530,6,607,536,-31,0,0,,,,,,
2015,9,30,3,DL,1617,N594NW,LAX,MSP,15,10,-5,22,32,209,211,179,1535,531,10,544,541,-3,0,0,,,,,,
2015,9,30,3,F9,1126,N207FR,LAS,IAD,20,32,12,8,40,273,261,245,2065,745,8,753,753,0,0,0,,,,,,
2015,9,30,3,F9,736,N931FR,DEN,CVG,30,27,-3,12,39,152,146,126,1069,445,8,502,453,-9,0,0,,,,,,
2015,9,30,3,F9,1270,N221FR,LAX,ORD,35,35,0,20,55,245,244,210,1744,625,14,640,639,-1,0,0,,,,,,
2015,9,30,3,AA,1965,N562UW,LAX,CLT,40,37,-3,16,53,289,278,249,2125,802,13,829,815,-14,0,0,,,,,,
2015,9,30,3,DL,925,N343NW,DEN,JFK,40,34,-6,12,46,231,242,222,1626,628,8,631,636,5,0,0,,,,,,
2015,9,30,3,UA,1200,N77871,SFO,IAH,45,44,-1,17,101,215,214,189,1635,610,8,620,618,-2,0,0,,,,,,
2015,9,30,3,DL,2440,N845DN,SEA,MSP,45,38,-7,29,107,185,196,161,1399,548,6,550,554,4,0,0,,,,,,
2015,9,30,3,AA,1746,N565UW,PHX,DFW,50,44,-6,11,55,139,122,105,868,440,6,509,446,-23,0,0,,,,,,
2015,9,30,3,AS,20,N477AS,SEA,ORD,50,126,36,12,138,234,216,198,1721,656,6,644,702,18,0,0,,0,0,18,0,0
2015,9,30,3,AS,122,N419AS,ANC,PDX,50,102,12,28,130,210,234,201,1542,551,5,520,556,36,0,0,,24,0,12,0,0
2015,9,30,3,F9,602,N932FR,DEN,IND,50,102,12,11,113,138,138,118,977,511,9,508,520,12,0,0,,,,,,
2015,9,30,3,AA,1051,N861AA,SFO,DFW,55,56,1,19,115,194,197,173,1464,608,5,609,613,4,0,0,,,,,,
2015,9,30,3,AA,2043,N830AW,ANC,PHX,55,220,85,40,300,327,353,308,2552,908,5,722,913,111,0,0,,26,0,85,0,0
2015,9,30,3,AS,94,N302AS,ANC,SEA,55,108,13,18,126,195,207,185,1448,531,4,510,535,25,0,0,,12,0,13,0,0
2015,9,30,3,DL,2324,N384DA,SLC,ATL,55,49,-6,15,104,209,204,177,1590,601,12,624,613,-11,0,0,,,,,,
2015,9,30,3,DL,1450,N378DA,LAS,MSP,55,49,-6,10,59,174,170,152,1299,531,8,549,539,-10,0,0,,,,,,
2015,9,30,3,UA,1614,N36280,LAX,IAH,58,52,-6,13,105,192,178,159,1379,544,6,610,550,-20,0,0,,,,,,
2015,9,30,3,AA,1113,N3KCAA,LAX,ORD,59,53,-6,13,106,247,243,214,1744,640,16,706,656,-10,0,0,,,,,,
2015,9,30,3,AA,1657,N855AA,LAS,DFW,59,59,0,9,108,169,138,125,1055,513,4,548,517,-31,0,0,,,,,,
2015,9,30,3,AA,2399,N868AA,LAX,DFW,59,57,-2,13,110,176,165,147,1235,537,5,555,542,-13,0,0,,,,,,
2015,9,30,3,NK,972,N623NK,PHX,DFW,100,48,-12,8,56,124,114,101,868,437,5,504,442,-22,0,0,,,,,,
2015,9,30,3,NK,520,N514NK,LAS,MCI,110,107,-3,13,120,158,153,133,1139,533,7,548,540,-8,0,0,,,,,,
2015,9,30,3,NK,906,N635NK,LAS,IAH,123,117,-6,11,128,173,158,140,1222,548,7,616,555,-21,0,0,,,,,,
2015,9,30,3,AA,1725,N153UW,DEN,CLT,125,116,-9,11,127,184,175,155,1337,602,9,629,611,-18,0,0,,,,,,
2015,9,30,3,AS,128,N423AS,FAI,SEA,125,139,14,16,155,215,220,198,1533,613,6,600,619,19,0,0,,5,0,14,0,0
2015,9,30,3,DL,914,N374DA,ANC,SEA,143,134,-9,23,157,202,204,173,1448,550,8,605,558,-7,0,0,,,,,,
2015,9,30,3,AS,136,N568AS,ANC,SEA,155,147,-8,18,205,199,205,178,1448,603,9,614,612,-2,0,0,,,,,,
2015,9,30,3,HA,17,N392HA,LAS,HNL,155,150,-5,11,201,365,369,349,2762,450,9,500,459,-1,0,0,,,,,,
2015,9,30,3,AS,114,N552AS,ANC,SEA,245,245,0,12,257,200,211,184,1448,701,15,705,716,11,0,0,,,,,,
2015,9,30,3,NK,374,N624NK,BQN,FLL,310,305,-5,17,322,148,152,128,982,530,7,538,537,-1,0,0,,,,,,
2015,9,30,3,B6,768,N568JB,PSE,MCO,333,320,-13,11,331,176,174,155,1179,606,8,629,614,-15,0,0,,,,,,
2015,9,30,3,AA,73,N3DLAA,SFO,ORD,500,458,-2,12,510,251,241,204,1846,1034,25,1111,1059,-12,0,0,,,,,,
2015,9,30,3,AA,233,N3HHAA,ORD,MIA,500,459,-1,12,511,174,179,159,1197,850,8,854,858,4,0,0,,,,,,
2015,9,30,3,AA,184,N3MGAA,SEA,ORD,500,456,-4,16,512,239,234,198,1721,1030,20,1059,1050,-9,0,0,,,,,,
2015,9,30,3,AA,263,N541AA,LAS,DFW,500,456,-4,10,506,169,156,134,1055,920,12,949,932,-17,0,0,,,,,,
2015,9,30,3,AA,1032,N4YEAA,SAT,DFW,500,453,-7,8,501,73,55,42,247,543,5,613,548,-25,0,0,,,,,,
2015,9,30,3,AA,1044,N017AA,IAH,MIA,500,503,3,12,515,143,141,118,964,813,11,823,824,1,0,0,,,,,,
2015,9,30,3,AA,1094,N3FNAA,SEA,DFW,500,455,-5,15,510,237,215,189,1660,1019,11,1057,1030,-27,0,0,,,,,,
2015,9,30,3,AA,1388,N3HRAA,PHX,DFW,500,454,-6,20,514,144,144,111,868,905,13,924,918,-6,0,0,,,,,,
2015,9,30,3,AA,1458,N3DJAA,EWR,DFW,500,617,77,16,633,232,213,190,1372,843,7,752,850,58,0,0,,0,0,58,0,0
2015,9,30,3,AA,1500,N3MHAA,BOS,ORD,500,452,-8,11,503,167,170,140,867,623,19,647,642,-5,0,0,,,,,,
2015,9,30,3,AA,2274,N3HCAA,MSP,DFW,500,459,-1,13,512,155,143,115,852,707,15,735,722,-13,0,0,,,,,,
2015,9,30,3,AA,2278,N3FTAA,LAX,ORD,500,518,18,16,534,246,237,207,1744,1101,14,1106,1115,9,0,0,,,,,,
2015,9,30,3,AA,2301,N586AA,ORD,DFW,500,456,-4,18,514,156,141,111,802,705,12,736,717,-19,0,0,,,,,,
2015,9,30,3,AA,1583,N3DCAA,BOS,DFW,500,454,-6,16,510,260,242,218,1562,748,8,820,756,-24,0,0,,,,,,
2015,9,30,3,AA,2404,N3EGAA,LAX,DFW,500,456,-4,16,512,191,176,150,1235,942,10,1011,952,-19,0,0,,,,,,
2015,9,30,3,AA,1813,N127UW,EWR,CLT,500,504,4,13,517,103,96,78,529,635,5,643,640,-3,0,0,,,,,,
2015,9,30,3,AA,1852,N732US,BOS,CLT,500,452,-8,14,506,130,134,113,728,659,7,710,706,-4,0,0,,,,,,
2015,9,30,3,AS,695,N433AS,GEG,SEA,500,452,-8,10,502,58,60,41,224,543,9,558,552,-6,0,0,,,,,,
2015,9,30,3,AS,730,N468AS,ANC,SEA,500,457,-3,42,539,195,224,176,1448,935,6,915,941,26,0,0,,26,0,0,0,0
2015,9,30,3,AA,2454,N3JTAA,BOS,MIA,500,501,1,17,518,199,208,185,1258,823,6,819,829,10,0,0,,,,,,
2015,9,30,3,UA,1079,N36469,PHX,IAH,500,504,4,15,519,154,146,125,1009,924,6,934,930,-4,0,0,,,,,,
2015,9,30,3,DL,2824,N332NB,BIS,MSP,500,453,-7,10,503,73,70,55,386,558,5,613,603,-10,0,0,,,,,,
2015,9,30,3,EV,2704,N909EV,GRK,DFW,500,451,-9,9,500,59,50,28,134,528,13,559,541,-18,0,0,,,,,,
2015,9,30,3,HA,102,N491HA,HNL,ITO,500,454,-6,11,505,52,53,36,216,541,6,552,547,-5,0,0,,,,,,
2015,9,30,3,MQ,3151,N537MQ,OKC,DFW,500,453,-7,12,505,68,67,38,175,543,17,608,600,-8,0,0,,,,,,
2015,9,30,3,MQ,3158,N6EAMQ,XNA,DFW,500,451,-9,23,514,82,76,45,280,559,8,622,607,-15,0,0,,,,,,
2015,9,30,3,MQ,3336,N525MQ,HOU,DFW,500,457,-3,9,506,80,60,42,247,548,9,620,557,-23,0,0,,,,,,
